gene	liver_448_adjacent_non-tumor_tissue	liver_448_tumor	liver_473_adjacent_non-tumor_tissue	liver_473_tumor	liver_510_adjacent_non-tumor_tissue	liver_510_tumor
IL18R1	174	307	182	58	225	39
IL18RAP	82	11	31	7	26	18
IL19	0	0	0	0	0	0
IL1A	1	2	1	2	0	4
IL1B	76	30	70	36	49	57
IL1F10	0	0	0	0	1	0
IL1R1	1982	2496	1656	612	2025	3148
IL1R2	90	116	123	28	126	357
IL1RAP	948	1577	2786	1881	2310	1711
IL1RAPL1	3	27	1	0	1	0
IL1RAPL2	16	2	42	0	20	8
IL1RL1	34	5	10	1	42	1
IL1RL2	39	14	70	101	39	8
IL1RN	773	837	345	604	1047	245
IL2	4	0	0	0	1	1
IL20	0	0	0	30	0	2
IL20RA	143	2	30	176	7	66
IL20RB	59	20	277	11	40	21
IL20RB-AS1	2	5	3	5	4	2
IL21	2	0	4	1	0	3
IL21-AS1	0	0	1	0	0	3
IL21R	16	3	21	6	38	59
IL21R-AS1	0	0	0	0	1	1
IL22	0	0	0	0	0	1
IL22RA1	110	574	119	116	197	36
IL22RA2	2	0	0	0	0	1
IL23A	12	5	7	4	14	7
IL23R	8	1	1	6	3	3
IL24	2	0	0	0	3	0
IL25	0	0	0	0	0	0
IL26	3	0	1	0	2	1
IL27	55	58	91	29	115	26
IL27RA	0	0	0	0	0	0
IL27RA_1	0	0	0	0	0	0
IL2RA	29	22	37	69	13	99
IL2RB	407	91	181	40	180	235
IL2RG	277	97	180	53	214	639
IL3	0	0	0	0	0	0
IL31	0	1	0	0	0	0
IL31RA	1	7	2	2	0	2
IL32	3799	2056	1689	4408	5739	2873
IL33	1086	24	911	439	671	106
IL34	64	17	16	10	17	207
IL36A	0	0	0	0	0	0
IL36B	0	0	0	0	0	0
IL36G	2	3	1	0	1	0
IL36RN	0	0	0	0	0	0
IL37	0	0	0	0	0	2
IL3RA	0	0	0	0	0	0
IL3RA_1	0	0	0	0	0	0
IL4	0	0	0	2	0	0
IL4I1	21	208	7	130	29	441
IL4R	853	1125	714	2019	1031	614
IL5	1	2	1	0	1	0
IL5RA	5	0	1	0	2	3
IL6	8	0	3	0	3	4
IL6-AS1	0	0	0	0	0	0
IL6R	785	1951	716	671	1058	846
IL6R-AS1	8	16	6	8	5	7
IL6ST	8216	7841	6225	4322	6156	6821
IL7	54	56	54	152	74	123
IL7R	850	31	357	24	125	230
IL9	0	0	0	1	0	4
IL9R	0	0	0	0	0	0
IL9R_1	0	0	0	0	0	0
ILDR1	42	51	12	39	16	104
ILDR2	13	1389	9	1218	33	759
ILF2	901	4176	740	8442	793	5650
ILF3	1268	3563	1167	3787	1062	5152
ILF3-DT	122	77	130	86	73	126
ILK	53	124	42	96	51	158
ILKAP	230	448	216	330	234	595
ILRUN	2342	9722	2846	7941	3614	4123
ILVBL	1033	1115	984	1109	1085	1276
IMMP1L	48	99	48	38	59	106
IMMP2L	270	228	233	458	184	262
IMMT	1086	3496	1082	2031	1439	1510
IMP3	832	923	833	690	808	869
IMP4	573	1188	633	805	791	1230
IMPA1	707	717	428	768	519	2020
IMPA1P1	2	1	3	0	1	1
IMPA2	390	2092	401	1333	799	879
IMPACT	511	718	446	581	526	832
IMPDH1	84	294	42	121	113	199
IMPDH2	778	2001	909	2387	509	964
IMPG1	3	4	2	5	0	2
IMPG2	6	5	0	6	3	3
INA	5	0	14	2	1	0
INAFM1	99	124	60	118	62	80
INAFM2	241	167	122	173	151	590
INAVA	52	82	12	72	3	7
INCA1	3	6	1	4	4	0
INCENP	122	820	111	768	89	660
INE1	1	4	1	9	4	9
INE2	0	0	0	0	0	0
INF2	1235	860	846	1005	792	2190
ING1	327	237	371	737	398	370
ING2	148	325	123	158	97	232
ING3	202	186	212	280	171	351
ING4	354	513	276	287	287	221
ING5	286	635	303	473	195	721
INGX	0	2	1	1	0	10
INHA	0	12	0	3	0	1
INHBA	227	454	610	874	514	465
INHBA-AS1	1	44	3	35	5	18
INHBB	642	541	228	3664	171	152
INHBC	2241	3950	2282	3589	5114	387
INHBE	535	3155	757	2470	1765	3807
INIP	428	860	334	750	295	935
INKA1	9	21	10	17	13	8
INKA2	68	128	38	107	31	494
INKA2-AS1	0	0	1	3	0	3
INMT	561	5	421	5	409	34
INMT-MINDY4	1	0	0	0	0	0
INO80	351	573	331	428	420	716
INO80B	11	23	18	16	7	4
INO80B-WBP1	0	0	0	0	0	0
INO80C	130	305	117	245	129	349
INO80D	0	0	0	0	0	0
INO80D_1	0	0	0	0	0	0
INO80E	273	541	200	545	211	246
INPP1	482	434	329	410	269	403
INPP4A	312	595	201	405	250	686
INPP4B	137	33	101	50	38	187
INPP5A	140	143	148	205	160	184
INPP5B	350	358	275	78	350	399
INPP5D	0	0	0	0	0	0
INPP5D_1	0	0	0	0	0	0
INPP5E	127	222	114	186	63	192
INPP5F	98	142	92	214	76	208
INPP5J	13	10	3	193	1	7
INPP5K	302	282	250	198	348	277
INPPL1	683	2540	564	1358	617	1943
INS	0	0	0	0	0	0
INS-IGF2	0	0	1	0	1	0
INSC	1	38	13	4	1	6
INSIG1	6768	2556	3879	5702	9604	1758
INSIG1-DT	31	24	25	34	35	8
INSIG2	1475	1000	994	829	583	1150
INSL3	3	6	1	2	0	2
INSL4	0	0	0	0	0	0
INSL5	0	0	0	0	0	0
INSL6	0	0	3	0	0	0
INSM1	0	0	1	0	0	0
INSM2	0	1	0	0	0	2
INSR	4650	3460	3537	4619	3007	2980
INSRR	0	0	0	48	0	2
INSYN1	18	44	1	12	8	4
INSYN1-AS1	0	0	0	0	0	0
INSYN2A	5	1	2	1	1	2
INSYN2B	3	0	17	49	7	4
INTS1	769	1510	852	1675	846	1442
INTS10	1006	1589	901	1221	1079	950
INTS11	518	924	443	514	543	1122
INTS12	251	373	274	318	395	362
INTS13	292	938	291	699	265	1052
INTS14	380	644	369	306	433	928
INTS2	147	628	120	409	113	325
INTS3	0	0	0	0	0	0
INTS3_1	0	0	0	0	0	0
INTS4	154	391	131	306	153	390
INTS4P1	0	0	1	3	0	1
INTS4P2	0	1	1	0	0	0
INTS5	232	503	286	425	298	421
INTS6	726	751	506	609	336	2232
INTS6-AS1	15	23	7	7	6	13
INTS6L	118	36	56	25	36	136
INTS6L-AS1	0	1	0	0	0	0
INTS7	233	1504	292	3058	243	1501
INTS8	259	1883	279	785	321	2731
INTS9	97	183	57	209	79	191
INTU	107	70	49	149	44	176
INVS	297	472	315	339	365	356
IP6K1	454	1437	339	1239	404	865
IP6K2	565	1132	411	608	495	686
IP6K3	24	2	18	122	141	361
IPCEF1	130	18	56	7	101	60
IPMK	239	408	175	343	141	460
IPO11	96	357	109	303	122	457
IPO11-LRRC70	0	0	1	0	0	0
IPO13	253	785	305	377	332	838
IPO4	0	0	0	0	0	0
IPO4_1	0	0	0	0	0	0
IPO5	2475	2126	2169	4931	1925	5314
IPO5P1	386	196	200	144	230	97
IPO7	1627	4064	1528	3789	1137	3699
IPO8	832	1696	902	1476	964	1524
IPO9	700	3957	654	8097	809	2996
IPO9-AS1	1	5	1	6	0	3
IPP	253	503	172	120	186	452
IPPK	37	73	19	63	29	62
IPW	169	12	51	0	25	187
IQANK1	0	0	0	0	0	0
IQANK1_1	0	0	0	0	0	0
IQCA1	36	10	11	1	0	2
IQCA1L	0	2	0	0	0	0
IQCB1	108	396	96	523	78	544
IQCC	23	54	8	66	10	44
IQCD	11	26	0	43	2	31
IQCE	183	344	120	449	112	587
IQCF1	0	0	0	0	0	0
IQCF2	0	0	0	0	0	0
IQCF3	0	0	0	0	0	0
IQCF4P	0	0	0	0	0	0
IQCF5	0	0	0	0	0	0
IQCF5-AS1	0	0	0	0	0	0
IQCF6	0	0	0	0	0	0
IQCG	73	46	43	87	49	155
IQCH	25	32	11	7	13	30
IQCH-AS1	142	73	138	31	83	138
IQCJ	0	0	0	0	0	0
IQCJ-SCHIP1	0	0	0	0	0	0
IQCJ-SCHIP1-AS1	0	1	0	0	0	0
IQCK	48	27	28	55	34	69
IQCM	2	1	0	0	0	1
IQCN	18	126	7	11	11	10
IQGAP1	1727	2060	988	1043	1691	5844
IQGAP2	4445	3789	5942	5873	5651	2964
IQGAP3	69	886	16	1736	3	502
IQSEC1	1543	1790	1965	2079	1538	930
IQSEC2	78	195	28	17	60	92
IQSEC3	14	0	8	1	12	1
IQSEC3_1	0	0	0	0	0	0
IQUB	13	3	2	1	1	6
IRAG1	119	37	83	45	56	86
IRAG1-AS1	0	8	0	1	0	3
IRAG2	109	90	77	49	141	138
IRAIN	0	0	0	0	2	0
IRAK1	637	3139	570	2231	1019	3038
IRAK1BP1	81	55	51	192	42	66
IRAK2	267	932	177	425	101	348
IRAK3	192	47	91	25	125	232
IRAK4	288	497	227	446	265	745
IREB2	1200	2263	1018	926	1037	1691
IRF1	742	1732	683	1171	931	997
IRF1-AS1	47	129	53	73	73	61
IRF2	612	863	700	583	723	766
IRF2BP1	403	732	406	459	291	487
IRF2BP2	2831	5587	2174	16728	1943	7416
IRF2BPL	744	505	588	400	626	1326
IRF3	364	701	264	429	340	754
IRF4	53	4	51	4	31	112
IRF5	113	343	114	280	134	487
IRF6	1035	3106	797	2734	954	1614
IRF7	2	6	0	0	0	0
IRF7_1	5	3	2	4	24	12
IRF8	927	123	522	263	487	750
IRF9	0	0	0	0	0	0
IRF9_1	0	0	0	0	0	0
IRGC	0	1	0	0	0	0
IRGM	3	4	3	5	0	2
IRGQ	283	355	292	344	142	576
IRS1	1055	2520	1399	983	1093	718
IRS2	3596	1006	1047	7058	1534	743
IRS4	1	0	0	0	0	0
IRX1	0	0	0	0	0	0
IRX2	2	2	0	0	0	1
IRX3	25	3	22	16	22	258
IRX4	0	0	1	0	0	0
IRX4-AS1	0	0	0	0	0	0
IRX5	0	1	1	7	0	2
IRX6	0	0	0	1	0	0
ISCA1	471	774	252	656	299	935
ISCA2	195	210	173	260	256	466
ISCU	1615	1264	1168	1456	1170	1368
ISG15	340	500	291	186	9882	1581
ISG20	160	249	78	83	291	251
ISG20L2	286	1029	304	2064	272	918
ISL1	0	0	0	0	0	0
ISL2	1	2	1	1	0	24
ISLR	0	0	0	0	0	0
ISLR2	3	7	5	4	3	11
ISLR_1	0	0	0	0	0	0
ISM1	47	8	97	39	87	579
ISM1-AS1	0	0	0	0	0	0
ISM2	0	0	2	0	0	0
ISOC1	1247	1398	1287	1243	1140	578
ISOC2	1232	1393	1165	1156	1568	1001
IST1	925	1029	686	764	736	1776
ISX	12	31	0	16	1	4
ISY1	118	277	104	201	113	273
ISY1-RAB43	0	0	0	0	0	0
ISYNA1	438	62	115	59	123	2754
ITCH	1678	2938	1950	1433	1924	1986
ITFG1	1383	707	1169	642	1290	898
ITFG1-AS1	1	2	0	0	0	2
ITFG2	158	347	111	277	131	228
ITFG2-AS1	0	0	0	0	1	0
ITGA1	3434	3191	2852	4933	3959	2533
ITGA10	23	16	14	5	20	18
ITGA11	69	25	17	9	32	135
ITGA2	170	279	58	1416	24	600
ITGA2B	7	49	3	12	2	3
ITGA3	399	116	135	72	61	119
ITGA4	358	263	205	152	177	919
ITGA5	871	5739	767	3826	1175	5235
ITGA6	613	2476	572	881	486	2228
ITGA6-AS1	5	5	3	1	0	5
ITGA7	332	163	231	87	71	60
ITGA8	91	60	58	33	10	60
ITGA9	1081	172	675	95	825	285
ITGA9-AS1	10	25	7	8	2	6
ITGAD	154	11	68	4	135	73
ITGAE	118	64	110	63	53	169
ITGAL	491	1122	377	547	633	611
ITGAM	167	256	121	264	330	1104
ITGAV	2134	2560	783	2708	657	8959
ITGAX	125	221	60	102	51	752
ITGB1	4374	6241	2846	6648	2770	19499
ITGB1-DT	36	67	10	29	4	242
ITGB1BP1	288	691	211	556	306	827
ITGB1BP2	8	7	6	4	2	8
ITGB2	1045	1182	554	1479	943	3937
ITGB2-AS1	36	11	11	10	6	42
ITGB3	97	488	124	38	193	58
ITGB3BP	159	336	146	450	38	299
ITGB4	291	73	132	440	25	77
ITGB5	2072	2762	1414	2580	1410	2985
ITGB6	22	28	10	0	2	148
ITGB7	30	111	39	46	33	99
ITGB8	369	16	55	2	11	122
ITGBL1	133	2	27	8	16	214
ITIH1	22489	10528	35086	36082	36780	4509
ITIH2	39052	1481	50951	24315	26378	29001
ITIH3	10352	2623	13563	6982	38464	814
ITIH4	34525	4286	46231	24991	52925	2768
ITIH4-AS1	10	6	9	9	6	1
ITIH5	585	23	77	1	40	37
ITIH6	0	0	0	0	0	3
ITK	117	19	61	12	46	83
ITLN1	226	1	91	1	288	2
ITLN2	6	2	0	17	2	3
ITM2A	230	31	150	28	50	962
ITM2B	10632	8270	8110	11189	10755	15540
ITM2C	736	1160	487	966	346	1702
ITPA	336	623	255	667	289	849
ITPK1	0	0	0	0	0	0
ITPK1-AS1	0	0	0	0	0	0
ITPK1-AS1_1	0	0	0	0	0	0
ITPK1_1	0	0	0	0	0	0
ITPKA	23	386	24	241	5	151
ITPKB	203	162	183	85	136	225
ITPKB-IT1	2	1	1	0	0	1
ITPKC	228	492	126	291	224	619
ITPR1	357	701	210	514	236	874
ITPR1-DT	8	13	6	4	3	6
ITPR2	2927	3074	3498	2459	2768	5233
ITPR3	184	714	92	1878	56	313
ITPRID1	0	0	0	0	0	0
ITPRID2	3143	3664	2883	1568	2386	2251
ITPRIP	386	228	129	118	213	382
ITPRIP-AS1	0	1	1	0	0	0
ITPRIPL1	21	19	12	12	16	26
ITPRIPL2	643	1148	486	1980	468	1493
ITSN1	914	2532	864	1760	931	1582
ITSN2	1277	1920	877	1209	917	1515
IVD	3408	2242	4268	1093	4123	1462
IVL	0	0	0	0	0	0
IVNS1ABP	1485	3751	930	8272	956	3597
IWS1	685	1104	627	799	646	1369
IYD	764	402	1266	79	464	4
IZUMO1	0	4	1	8	0	4
IZUMO1R	1	1	1	0	0	0
IZUMO2	0	0	0	0	0	0
IZUMO3	0	0	0	0	0	0
IZUMO4	33	8	32	6	25	7
JADE1	611	334	371	532	384	358
JADE2	356	601	317	399	312	400
JADE3	242	1031	203	411	247	961
JAG1	1051	295	371	504	118	1345
JAG2	92	295	32	115	22	740
JAGN1	735	1315	604	655	685	617
JAK1	2681	5964	2491	5040	3100	6272
JAK2	337	267	306	328	300	862
JAK3	133	58	75	35	57	162
JAKMIP1	9	9	6	0	9	13
JAKMIP2	42	24	109	11	100	11
JAKMIP2-AS1	3	0	20	1	1	0
JAKMIP3	5	101	4	11	0	55
JAM2	226	38	100	31	62	86
JAM3	45	33	32	18	30	68
JAML	239	98	125	150	112	326
JARID2	222	393	146	496	164	453
JARID2-AS1	2	1	1	2	0	1
JAZF1	464	909	299	301	191	735
JAZF1-AS1	1	1	1	0	1	0
JCAD	230	359	129	365	82	1886
JCHAIN	1882	10	1760	2	701	2173
JDP2	379	70	211	24	269	581
JHY	56	20	16	5	7	31
JKAMP	590	560	450	508	521	880
JMJD1C	1642	1166	1219	1524	1102	1295
JMJD1C-AS1	0	2	2	1	2	2
JMJD4	41	130	49	215	48	190
JMJD6	223	1108	144	640	147	724
JMJD7	30	26	35	23	35	49
JMJD7-PLA2G4B	0	0	0	0	0	0
JMJD8	258	383	254	388	336	202
JMY	513	676	302	374	305	659
JOSD1	795	958	445	1337	411	1023
JOSD2	118	269	107	181	137	202
JPH1	8	256	4	34	4	237
JPH2	22	7	7	7	5	8
JPH3	10	1	2	1	1	6
JPH4	10	5	4	9	11	11
JPT1	174	1602	98	510	139	1180
JPT2	929	4008	985	1802	906	1627
JPX	53	44	50	48	36	64
JRK	76	309	73	260	53	85
JRKL	121	341	62	188	104	613
JRKL-AS1	0	0	0	0	0	1
JSRP1	11	1	5	1	3	15
JTB	1782	2666	1726	7541	2025	4554
JUN	2546	3153	1811	3561	1852	3472
JUNB	2281	784	1969	1945	2757	2749
JUND	2608	2456	1317	1167	1070	2905
JUP	1814	2470	1682	1403	1586	1697
KAAG1	7	0	2	0	1	3
KALRN	644	1151	740	339	590	1024
KANK1	1568	2126	1555	2704	2090	1951
KANK2	1317	875	1152	2102	1047	2420
KANK3	98	39	70	20	53	29
KANK4	11	8	101	2	150	1
KANSL1	0	0	0	0	0	0
KANSL1-AS1	0	0	0	0	0	0
KANSL1-AS1_1	0	0	0	0	0	0
KANSL1-AS1_2	0	0	0	0	0	0
KANSL1L	198	283	223	210	138	353
KANSL1L-AS1	4	7	3	7	2	0
KANSL1_1	0	1	4	10	0	4
KANSL1_2	0	0	1	8	0	0
KANSL2	207	393	198	396	214	509
KANSL3	662	1265	533	1077	544	1502
KANTR	20	29	6	35	11	30
KARS1	1191	2041	1280	1459	1555	4203
KASH5	0	3	0	3	1	2
KAT14	235	341	269	445	236	250
KAT2A	488	1441	439	1464	322	909
KAT2B	1138	1684	1197	720	1121	737
KAT5	170	422	151	327	183	400
KAT6A	678	1418	579	1405	545	1177
KAT6B	0	0	0	0	0	0
KAT6B_1	0	0	0	0	0	0
KAT7	299	678	254	778	248	758
KAT8	228	451	301	384	249	212
KATNA1	237	319	134	333	131	384
KATNAL1	232	318	262	122	168	341
KATNAL2	95	349	94	156	53	157
KATNB1	116	147	99	232	140	379
KATNBL1	220	431	187	253	180	638
KATNBL1P6	41	88	33	42	37	124
KATNIP	161	236	88	270	138	211
KAZALD1	18	6	14	20	20	106
KAZN	106	13	93	7	94	12
KAZN-AS1	0	0	0	0	0	0
KBTBD11	0	0	0	0	0	0
KBTBD11-OT1	0	0	0	0	0	0
KBTBD11-OT1_1	0	0	0	0	0	0
KBTBD11_1	0	0	0	0	0	0
KBTBD12	2	1	1	180	0	90
KBTBD13	1	1	0	0	0	0
KBTBD2	717	1814	429	1293	474	1302
KBTBD3	172	96	100	86	85	184
KBTBD4	0	0	0	0	0	0
KBTBD4_1	0	0	0	0	0	0
KBTBD6	197	163	172	187	153	358
KBTBD7	378	232	361	390	298	571
KBTBD8	37	69	16	22	19	64
KC6	2	0	0	0	1	0
KCCAT198	0	1	0	0	0	2
KCMF1	905	1824	719	951	733	1230
KCNA1	1	0	0	1	0	0
KCNA10	0	0	0	0	0	0
KCNA2	9	2	7	0	3	5
KCNA3	162	8	110	10	60	90
KCNA4	0	0	0	0	0	38
KCNA5	11	5	5	0	3	2
KCNA6	11	0	3	2	4	0
KCNA7	0	2	0	1	0	0
KCNAB1	198	63	88	147	73	91
KCNAB1-AS1	0	0	0	0	0	0
KCNAB1-AS2	0	0	0	0	0	0
KCNAB2	258	1052	121	637	318	452
KCNAB3	18	4	8	1	5	4
KCNB1	66	1176	71	468	481	14
KCNB2	0	0	0	0	0	0
KCNC1	0	6	0	5	0	1
KCNC2	8	33	8	9	1	150
KCNC3	84	239	63	24	66	40
KCNC4	65	108	42	39	40	63
KCND1	17	9	17	2	8	27
KCND2	20	5	8	0	1	15
KCND3	882	2018	1083	261	1201	17
KCND3-AS1	0	0	0	1	0	0
KCND3-IT1	1	0	0	1	0	0
KCNE1	1	0	3	0	7	1
KCNE1B	0	0	2	0	0	0
KCNE2	0	0	0	0	0	0
KCNE3	148	327	118	149	187	281
KCNE4	28	19	13	8	24	51
KCNE5	4	7	1	11	0	8
KCNF1	3	3	1	7	0	2
KCNG1	6	35	5	28	1	1
KCNG2	7	22	24	23	16	15
KCNG3	1	49	0	10	0	0
KCNG4	0	0	0	0	0	0
KCNH1	0	2	1	15	3	30
KCNH1-IT1	0	0	0	0	0	0
KCNH2	2	42	6	18	0	1757
KCNH3	27	3	7	11	3	1
KCNH4	5	23	0	153	0	11
KCNH5	0	0	0	0	0	1
KCNH6	0	7	0	0	1	1
KCNH7	1	131	6	3	2	137
KCNH7-AS1	0	0	0	0	0	1
KCNH8	42	0	23	0	4	0
KCNIP1	14	0	7	0	4	2
KCNIP1-AS1	0	0	0	0	0	0
KCNIP1-OT1	0	0	0	0	0	1
KCNIP2	9	8	7	17	6	5
KCNIP2-AS1	1	2	1	0	0	0
KCNIP3	11	43	13	23	19	69
KCNIP4	0	1	1	3	1	0
KCNIP4-IT1	1	0	0	0	0	0
KCNIP4_1	0	0	0	0	0	0
KCNJ1	0	0	0	1	0	1
KCNJ10	89	14	120	6	377	34
KCNJ11	20	75	12	60	15	121
KCNJ12	16	7	11	0	9	8
KCNJ13	16	3	0	0	1	0
KCNJ14	6	29	16	21	1	38
KCNJ15	748	36	210	6	48	86
KCNJ16	412	10	65	0	19	0
KCNJ18	0	0	0	0	0	0
KCNJ2	95	172	82	44	121	119
KCNJ2-AS1	3	2	2	1	3	1
KCNJ3	106	604	104	4	137	165
KCNJ4	5	64	12	38	7	1
KCNJ5	14	53	12	78	0	404
KCNJ6	1	0	0	0	0	0
KCNJ6-AS1	0	0	0	0	0	0
KCNJ8	1337	512	630	542	1333	105
KCNJ9	1	0	1	1	0	1
KCNK1	243	931	160	475	57	82
KCNK10	0	0	0	0	0	0
KCNK12	1	5	1	3	2	3
KCNK13	16	23	13	13	37	85
KCNK15	7	0	2	2	2	12
KCNK15-AS1	0	0	0	0	1	1
KCNK16	0	0	1	0	0	0
KCNK17	36	1	22	4	45	0
KCNK18	0	0	0	0	0	0
KCNK2	10	2	4	13	0	0
KCNK3	11	23	17	67	38	5
KCNK4	0	0	0	0	0	0
KCNK4-TEX40	0	0	0	0	0	0
KCNK5	346	56	401	167	581	58
KCNK6	215	58	154	37	166	151
KCNK7	0	12	0	3	0	5
KCNK9	1	1	0	1	0	6
KCNMA1	342	38	274	41	447	253
KCNMA1-AS1	1	0	0	1	0	0
KCNMA1-AS2	1	0	0	0	1	0
KCNMA1-AS3	0	0	0	0	0	0
KCNMB1	23	7	15	9	10	52
KCNMB2	6	0	3	0	2	9
KCNMB2-AS1	1	6	0	0	2	78
KCNMB3	26	96	22	38	9	44
KCNMB4	71	25	36	15	37	23
KCNN1	1	30	1	2	0	0
KCNN2	402	7	337	10	585	30
KCNN3	50	58	28	49	12	91
KCNN4	19	7	11	6	1	78
KCNQ1	43	35	20	27	26	52
KCNQ1-AS1	0	0	0	0	0	0
KCNQ1-AS1_1	0	0	0	0	0	0
KCNQ1DN	0	0	0	0	0	0
KCNQ1DN_1	0	0	0	0	0	0
KCNQ1OT1	298	222	130	157	62	313
KCNQ1_1	0	0	0	0	0	0
KCNQ2	0	0	0	0	0	0
KCNQ2-AS1	0	0	0	0	0	0
KCNQ2-AS1_1	0	0	0	0	0	0
KCNQ2_1	0	0	0	0	0	0
KCNQ3	7	14	3	12	1	25
KCNQ4	22	126	5	19	3	2
KCNQ5	4	0	0	0	0	2
KCNQ5-AS1	0	0	0	0	0	0
KCNQ5-IT1	0	0	0	0	0	0
KCNRG	5	4	5	0	1	8
KCNS1	11	28	6	49	0	2
KCNS2	0	5	0	0	0	1
KCNS3	172	30	75	66	42	47
KCNT1	1	0	1	2	0	1
KCNT2	207	830	135	977	220	679
KCNU1	0	0	3	0	0	0
KCNV1	0	1	0	1	0	28
KCNV2	0	1	0	0	0	1
KCP	7	10	2	10	1	4
KCTD1	90	289	45	499	59	254
KCTD10	507	688	249	567	275	1088
KCTD11	0	0	0	0	0	0
KCTD11_1	0	0	0	0	0	0
KCTD12	1396	616	800	798	889	3420
KCTD13	77	210	62	126	44	93
KCTD14	1	9	0	8	3	6
KCTD15	159	747	148	183	141	63
KCTD16	2	1	1	1	0	2
KCTD17	110	254	34	236	50	331
KCTD18	249	287	216	161	212	162
KCTD19	3	1	1	0	0	0
KCTD2	297	932	262	535	259	523
KCTD20	1449	3961	1219	5276	1199	4976
KCTD21	290	371	286	297	270	613
KCTD21-AS1	9	24	8	9	15	26
KCTD3	2132	7418	2260	8998	2110	5132
KCTD4	0	0	1	0	0	0
KCTD5	194	1141	234	568	198	549
KCTD6	175	446	173	360	112	241
KCTD7	104	312	63	299	63	160
KCTD8	1	0	0	0	0	1
KCTD9	204	736	137	368	106	375
KDELR1	1664	2636	1578	2364	1365	5465
KDELR2	3819	8082	4729	7457	5151	12886
KDELR3	204	522	85	618	102	1423
KDF1	60	34	51	25	52	17
KDM1A	576	1953	525	722	545	1922
KDM1B	269	699	238	1014	323	738
KDM2A	1184	3630	1249	2051	1130	2875
KDM2B	307	593	327	500	259	819
KDM2B-DT	0	1	0	1	0	1
KDM3A	535	1313	332	738	372	1037
KDM3B	762	1790	543	2177	593	1280
KDM4A	513	1342	521	450	507	1329
KDM4A-AS1	3	16	7	6	2	7
KDM4B	471	627	546	540	529	1104
KDM4C	304	373	280	432	314	732
KDM4D	8	26	8	42	6	13
KDM4E	0	0	0	0	0	0
KDM5A	1097	1656	840	1382	882	1843
KDM5B	461	555	302	2069	265	1594
KDM5C	570	1339	524	1359	599	1389
KDM5D	546	900	449	533	405	690
KDM6A	302	657	294	264	260	747
KDM6B	488	332	263	208	249	505
KDM7A	539	649	342	677	321	994
KDM7A-DT	47	163	41	75	65	245
KDM8	542	216	600	176	1463	35
KDR	887	384	1170	334	1434	368
KDSR	1563	1554	1301	1315	1706	1963
KEAP1	760	1461	812	1109	949	1075
KEL	0	0	0	0	0	0
KEL_1	0	0	0	0	0	0
KERA	0	0	0	0	0	1
KHDC1	7	55	2	4	2	10
KHDC1L	0	149	0	0	0	27
KHDC3L	0	0	0	0	0	0
KHDC4	329	1517	265	1942	192	900
KHDRBS1	1642	3793	1365	3050	1235	4610
KHDRBS2	1	1	1	12	0	1
KHDRBS3	138	843	149	209	124	212
KHK	1716	3626	2851	1873	4298	489
KHNYN	577	1001	605	1437	596	816
KHSRP	1266	2563	1167	3024	966	5870
KIAA0040	720	804	380	775	354	604
KIAA0087	3	0	0	3	0	2
KIAA0100	885	2546	1076	2484	1333	2212
KIAA0232	1081	1890	689	2160	749	1148
KIAA0319	2	20	4	13	2	11
KIAA0319L	1207	1425	1255	1688	1476	1799
KIAA0408	0	0	0	0	0	0
KIAA0513	78	155	77	166	125	205
KIAA0586	183	153	167	283	152	288
KIAA0753	151	117	111	212	107	180
KIAA0754	90	224	68	77	44	177
KIAA0825	58	11	29	12	30	99
KIAA0895	164	477	98	248	146	405
KIAA0895L	82	77	34	76	31	60
KIAA0930	785	797	582	1184	948	1548
KIAA1109	1559	1238	1088	879	1003	1274
KIAA1143	0	0	0	0	0	0
KIAA1143_1	0	0	0	0	0	0
KIAA1191	1646	2906	1532	1654	1407	2291
KIAA1210	2	1	0	0	0	0
KIAA1217	907	1107	724	657	793	2197
KIAA1328	64	117	45	139	43	59
KIAA1522	775	2184	412	1065	221	2337
KIAA1549	83	150	32	203	19	515
KIAA1549L	11	11	5	4	1	4
KIAA1586	123	204	103	919	110	418
KIAA1614	14	132	8	99	5	35
KIAA1614-AS1	0	6	0	5	0	1
KIAA1656	6	9	4	17	5	6
KIAA1671	489	412	308	282	441	274
KIAA1671-AS1	41	44	24	15	52	16
KIAA1755	14	1	29	25	22	43
KIAA1841	48	268	40	249	42	183
KIAA1958	340	1583	334	1016	407	661
KIAA2012	40	12	30	6	47	3
KIAA2012-AS1	0	0	0	0	1	0
KIAA2013	636	1574	603	425	803	1110
KIAA2026	872	349	693	812	511	1147
KIDINS220	990	1775	808	1551	952	1626
KIF11	102	762	40	1163	25	691
KIF12	592	94	337	178	288	172
KIF13A	733	1503	780	4502	605	1346
KIF13B	955	1671	910	1153	823	912
KIF14	27	703	21	1552	9	501
KIF15	0	0	0	0	0	0
KIF15_1	0	0	0	0	0	0
KIF16B	330	554	241	776	286	1022
KIF17	34	77	36	12	31	19
KIF18A	13	386	10	255	3	346
KIF18B	12	353	4	330	1	218
KIF19	28	8	21	1	52	4
KIF1A	14	10	26	21	18	0
KIF1B	975	2964	868	949	851	1548
KIF1C	2048	2031	2241	2781	2428	1868
KIF1C-AS1	4	0	1	5	1	1
KIF20A	48	1152	19	793	11	302
KIF20B	155	552	171	948	74	543
KIF21A	1143	2884	1044	1967	964	2236
KIF21B	77	291	53	1776	42	92
